company,location,source_url
Thursday Kitchen,"        424 E 9th St New York, NY 10009    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=10
The Boil,"        139 Chrystie St New York, NY 10002    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=10
Bep Ga,"        70 Forsyth St New York, NY 10002    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=10
Thai Villa,"        5 E 19th St New York, NY 10003    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=10
Dutch Freds,"        307 W 47th St New York, NY 10036    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=10
Rocket Pig,"        463 W 24th St New York, NY 10001    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=10
Purbird,"        82 Sixth Ave Brooklyn, NY 11217    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=10
Whitmans Hudson Yards,"        331 10th Ave New York, NY 10001    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=10
Los Tacos No.1,"        75 9th Ave New York, NY 10011    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=10
Chikarashi,"        227 Canal St New York, NY 10013    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=10
Hollow Nickel,"        494 Atlantic Ave Brooklyn, NY 11217    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=150
Simple NYC,"        109 Eldridge St New York, NY 10002    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=150
East Coast Burgers,"        53-21 Metropolitan Ave Ridgewood, NY 11385    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=150
Topaz Noodle Bar,"        129 W 56th St New York, NY 10019    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=150
Jack?€?s Wife Freda,"        50 Carmine St New York, NY 10014    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=150
Five Leaves,"        18 Bedford Ave Brooklyn, NY 11222    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=150
Cookshop,"        156 10th Ave New York, NY 10011    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=150
Istanblue Kings Restaurant,"        428 Kings Hwy Brooklyn, NY 11223    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=150
The Little Owl,"        90 Bedford St New York, NY 10014    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=150
Hart?€?s Restaurant,"        506 Franklin Ave New York, NY 11238    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=150
Upstate,"        95 1st Ave New York, NY 10003    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&ns=1
The Alcove,"        41-11 49th St Sunnyside, NY 11104    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&ns=1
Excellent Dumpling House,"        165 W 23rd St New York, NY 10011    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&ns=1
Am??lie,"        22 W 8th St New York, NY 10011    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&ns=1
Luke?€?s Lobster FiDi,"        26 S William St New York, NY 10004    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&ns=1
Burger & Lobster,"        39 W 19th St New York, NY 10011    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&ns=1
Cafe Mogador,"        133 Wythe Ave Brooklyn, NY 11211    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&ns=1
Blue Maiz,"        606 8th Ave New York, NY 10018    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&ns=1
Fishmarket Restaurant,"        111 South St New York, NY 10038    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&ns=1
Breakroom,"        83 Baxter St New York, NY 10013    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&ns=1
Excuse My French,"        96 Orchard St New York, NY 10002    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=20
Trademark Taste & Grind,"        38 W 36th St New York, NY 10018    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=20
Otway,"        930 Fulton St Brooklyn, NY 11238    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=20
Love Mamak,"        174 2nd Ave New York, NY 10003    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=20
Midwinter Kitchen,"        327 2nd Ave New York, NY 10003    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=20
Da Claudio,"        21 Ann St New York, NY 10038    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=20
5ive Spice,"        52 5th Ave Brooklyn, NY 11217    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=20
Trestle,"        34-02 Broadway Astoria, NY 11106    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=20
Coarse NYC,"        306 W 13th St New York, NY 10014    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=20
Raku,"        342 E 6th St New York, NY 10003    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=20
The Dead Rabbit,"        30 Water St New York, NY 10004    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=30
Midnights,"        149 N 6th Street Brooklyn, NY 11249    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=30
Monroe,"        49 Monroe St New York, NY 10002    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=30
Babbo,"        110 Waverly Pl New York, NY 10011    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=30
Jane,"        100 W Houston St New York, NY 10012    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=30
2nd City,"        525 Hudson St New York, NY 10014    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=30
Bornholm,"        138 Smith St Brooklyn, NY 11201    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=30
Cooks & Captains,"        254 5th Ave Brooklyn, NY 11215    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=30
Cafe Habana,"        17 Prince St New York, NY 10012    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=30
Denizen,"        88 Roebling St Brooklyn, NY 11211    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=30
Juliana?€?s Pizza,"        19 Old Fulton St Brooklyn, NY 11201    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=40
Bea,"        403 W 43rd St New York, NY 10036    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=40
Blend Astoria,"        37-17 30th Ave Astoria, NY 11103    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=40
Traif,"        229 S 4th St Brooklyn, NY 11211    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=40
Jora Restaurant & Bar,"        47-46 11th St Long Island City, NY 11101    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=40
Shanghai Asian Manor,"        21 Mott St New York, NY 10013    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=40
Barn Joo 35,"        34 W 35th St New York, NY 10001    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=40
Ikinari Steak East Village,"        90 E 10th St New York, NY 10003    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=40
Union Bar & Kitchen,"        300 Spring St New York, NY 10013    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=40
Ichabod?€?s,"        15 Irving Pl New York, NY 10003    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=40
La Lanterna di Vittorio,"        129 MacDougal St New York, NY 10012    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=50
Rabbit House,"        76 Forsyth St New York, NY 10002    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=50
Ruzana,"        486 85th St Brooklyn, NY 11209    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=50
Heidi?€?s House By The Side Of The Road,"        308 E 78th St New York, NY 10075    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=50
Up Thai,"        1411 2nd Ave New York, NY 10021    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=50
Noodle Pudding,"        38 Henry St Brooklyn, NY 11201    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=50
Ningbo Cafe,"        21 S End Ave New York, NY 10280    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=50
The Meatball Shop,"        798 9th Ave New York, NY 10019    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=50
Gersi,"        316 Court St Brooklyn, NY 11231    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=50
Suspenders,"        108 Greenwich St New York, NY 10006    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=50
The Blue Light Speak Cheesy,"        114 Greenpoint Ave Brooklyn, NY 11222    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=60
Brooklyn Beet Company,"        7205 3rd Ave Brooklyn, NY 11209    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=60
Juanchi?€?s Burger,"        225 S 1st St Brooklyn, NY 11211    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=60
LIC Market,"        21-52 44th Dr Long Island City, NY 11101    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=60
Red Hook Lobster Pound,"        284 Van Brunt St Brooklyn, NY 11231    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=60
Aunt Jake?€?s,"        151 Mulberry St New York, NY 10013    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=60
Tanner Smiths,"        204 W 55th St New York, NY 10019    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=60
Chouchou,"        215 E 4th St New York, NY 10009    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=60
La Contenta,"        102 Norfolk St New York, NY 10002    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=60
Wolf and Deer,"        74 5th Ave Brooklyn, NY 11217    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=60
Ramen Shack,"        13-13 40th Ave Long Island City, NY 11101    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=70
Rabbithole Restaurant,"        352 Bedford Ave Brooklyn, NY 11211    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=70
Ousia,"        629 W 57th St New York, NY 10019    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=70
Rucola,"        190 Dean St Brooklyn, NY 11217    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=70
June,"        231 Court St Brooklyn, NY 11201    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=70
Root & Bone,"        200 E 3rd St New York, NY 10009    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=70
Red Poke,"        600 9th Ave New York, NY 10036    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=70
Broccolino,"        213 Smith St Brooklyn, NY 11201    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=70
Grindhaus,"        275 Van Brunt St New York, NY 11231    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=70
Casa Enrique,"        5-48 49th Ave Long Island City, NY 11101    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=70
Atrium Dumbo,"        15 Main St Brooklyn, NY 11201    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=80
Le Fond,"        105 Norman Ave Brooklyn, NY 11222    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=80
Marmar,"        370 Forest Ave Staten Island, NY 10301    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=80
Ampersand,"        294 3rd Ave New York, NY 10010    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=80
Prospect,"        773 Fulton St Brooklyn, NY 11217    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=80
Distilled,"        211 W Broadway New York, NY 10013    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=80
Soco,"        509 Myrtle Ave Brooklyn, NY 11205    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=80
Poke Bowl,"        104 Fulton St New York, NY 10038    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=80
Los Mariscos,"        409 W 15th St New York, NY 10011    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=80
The Food Sermon Kitchen,"        355 Rogers Ave Brooklyn, NY 11225    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=80
Buttermilk Channel,"        524 Court St Brooklyn, NY 11231    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=90
The Habitat,"        988 Manhattan Ave Brooklyn, NY 11222    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=90
Gotham Market at The Ashland,"        590 Fulton St Brooklyn, NY 11217    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=90
Trading Post,"        170 John St New York, NY 10038    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=90
Cask Bar & Kitchen,"        167 E 33rd St New York, NY 10016    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=90
Julia?€?s,"        818 Woodward Ave Ridgewood, NY 11385    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=90
Westville Chelsea,"        246 W 18th St New York, NY 10011    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=90
Trapizzino,"        144 Orchard St New York, NY 10002    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=90
Buddakan,"        75 9th Ave New York, NY 10011    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=90
ABC Kitchen,"        35 E 18th St New York, NY 10003    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=90
Delilah,"        155 Rivington St New York, NY 10002    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=110
Hudson Eats At Brookfield Place,"        225 Liberty St New York, NY 10281    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=110
While We Were Young,"        183 W 10th St New York, NY 10014    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=110
Friedman?€?s,"        132 W 31st St New York, NY 10001    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=110
Crescent Grill,"        38-40 Crescent St Long Island City, NY 11101    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=110
Schilling,"        109 Washington St New York, NY 10006    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=110
El Born,"        651 Manhattan Ave Brooklyn, NY 11222    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=110
Taheni Mediterranean Grill,"        224 4th Ave Brooklyn, NY 11215    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=110
Mr. Donahue?€?s,"        203 Mott St New York, NY 10012    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=110
Jack?€?s Wife Freda,"        224 Lafayette St New York, NY 10012    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=110
Joe?€?s Shanghai,"        9 Pell St New York, NY 10013    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=100
Ltauha Restaurant,"        55-50 Myrtle Ave Ridgewood, NY 11385    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=100
Poketeria,"        3 E 36th St New York, NY 10016    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=100
Sweet Chick,"        178 Ludlow St New York, NY 10002    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=100
Ippudo East Village,"        65 4th Ave New York, NY 10003    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=100
Luke?€?s Lobster Brooklyn Bridge Park-DUMBO,"        11 Water St Brooklyn, NY 11201    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=100
Olmsted,"        659 Vanderbilt Ave Brooklyn, NY 11238    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=100
De Maria,"        19 Kenmare St New York, NY 10012    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=100
Rubirosa,"        235 Mulberry St New York, NY 10012    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=100
Saigon Shack,"        114 Macdougal St New York, NY 10012    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=100
Palomas,"        435 Menahan St Brooklyn, NY 11237    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=170
Pepe Rosso Social,"        173 Mott St New York, NY 10013    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=170
Boqueria - Brooklyn,"        590 Fulton St Brooklyn, NY 11217    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=170
Parker & Quinn,"        64 W 39th St New York, NY 10018    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=170
PMF Pardon My French,"        103 Ave B New York, NY 10009    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=170
VBar Seaport,"        212 Front St New York, NY 10038    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=170
Trattoria Trecolori,"        254 W 47th St New York, NY 10036    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=170
Kimbap Lab,"238 Bedford Ave Brooklyn, NY 11249",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=170
Wok Wok,"        11 Mott St New York, NY 10013    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=170
Momosan Ramen & Sake,"        342 Lexington Ave New York, NY 10016    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=170
The Cellar,"        900 Broadway New York, NY 10003    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=120
Father Knows Best,"        611A Wilson Ave Brooklyn, NY 11207    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=120
Sticky?€?s Finger Joint,"        21 Maiden Ln New York, NY 10038    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=120
Montana?€?s Trail House,"        445 Troutman St Brooklyn, NY 11237    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=120
Izakaya MEW,"        53 W 35th St New York, NY 10001    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=120
Frankies 457 - Brooklyn,"        457 Court St Brooklyn, NY 11231    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=120
Adrienne?€?s Pizzabar,"        54 Stone St New York, NY 10004    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=120
Sinbad Seafood & Steak,"        7721 5th Ave Brooklyn, NY 11209    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=120
L?€?Artusi,"        228 W 10th St New York, NY 10014    ",https://www.yelp.com/search?find_desc=Restaurants&find_loc=New+York%2C+NY&start=120
